name,x,y,z,i,j,k
A1778870000_0032L.N,-49.720,-791.100,533.810,-0.140,-0.610,0.780,           
A1778870000_0032R.N,-49.720,791.100,533.810,-0.140,0.610,0.780,           
A1778870000_0033L.N,-359.760,-758.480,486.250,-0.240,-0.490,0.840,           
A1778870000_0033R.N,-359.760,758.480,486.250,-0.240,0.490,0.840,           
A1778870000_0034L.N,-465.620,-723.430,469.750,-0.330,-0.390,0.860,           
A1778870000_0034R.N,-465.620,723.430,469.750,-0.330,0.390,0.860,           
A1778870000_0035L.N,-550.210,-649.340,464.810,-0.390,-0.340,0.860,           
A1778870000_0035R.N,-550.210,649.340,464.810,-0.390,0.340,0.860,           
A1778870000_0036L.N,-622.840,-564.220,462.930,-0.420,-0.330,0.850,           
A1778870000_0036R.N,-622.840,564.220,462.930,-0.420,0.330,0.850,           
A1778870000_0037L.N,-682.650,-350.060,468.560,-0.320,-0.100,0.940,           
A1778870000_0037R.N,-682.650,350.060,468.560,-0.320,0.100,0.940,           
A1778870000_0038L.N,-692.440,-290.050,471.540,-0.320,-0.090,0.940,           
A1778870000_0038R.N,-692.440,290.050,471.540,-0.320,0.090,0.940,           
A1778870000_0039L.N,-707.310,-175.030,476.180,-0.330,-0.070,0.940,           
A1778870000_0039R.N,-707.310,175.030,476.180,-0.330,0.070,0.940,           
A1778870000_0040L.N,-716.960,-5.000,479.220,0.330,0.000,-0.940,           
A1778870000_0047L.N,130.290,-796.100,558.680,-0.110,-0.670,0.740,           
A1778870000_0047R.N,130.290,796.100,558.680,-0.110,0.670,0.740,           
A1778870000_0050L.N,401.210,-733.640,656.460,0.160,0.090,-0.980,           
A1778870000_0050R.N,401.210,733.640,656.460,0.160,-0.090,-0.980,           
