name,x,y,z,i,j,k
A1188870000_0052L.N,129.660,-793.020,563.450,0.110,0.670,-0.730,           
A1188870000_0052R.N,129.660,793.020,563.450,0.110,-0.670,-0.730,           
A1778870000_0005L.N,239.150,-5.010,668.740,0.110,0.000,-0.990,           
A1778870000_0006L.N,248.550,-170.430,668.080,0.110,0.020,-0.990,           
A1778870000_0006R.N,248.550,170.430,668.080,0.110,-0.020,-0.990,           
A1778870000_0007L.N,275.660,-340.800,666.170,0.120,0.040,-0.990,           
A1778870000_0007R.N,275.660,340.800,666.170,0.120,-0.040,-0.990,           
A1778870000_0008L.N,312.580,-491.070,663.560,0.140,0.060,-0.990,           
A1778870000_0008R.N,312.580,491.070,663.560,0.140,-0.060,-0.990,           
A1778870000_0009L.N,348.890,-606.270,661.000,0.160,0.080,-0.980,           
A1778870000_0009R.N,348.890,606.270,661.000,0.160,-0.080,-0.980,           
A1778870000_0010L.N,372.650,-754.120,644.900,0.120,0.690,-0.710,           
A1778870000_0010R.N,372.650,754.120,644.900,0.120,-0.690,-0.710,           
A1778870000_0011L.N,282.330,-783.930,595.630,0.090,0.760,-0.650,           
A1778870000_0011R.N,282.330,783.930,595.630,0.090,-0.760,-0.650,           
A1778870000_0012L.N,179.580,-793.250,570.630,0.100,0.690,-0.710,           
A1778870000_0012R.N,179.580,793.250,570.630,0.100,-0.690,-0.710,           
A1778870000_0013L.N,-50.190,-787.640,538.330,0.140,0.600,-0.780,           
A1778870000_0013R.N,-50.190,787.640,538.330,0.140,-0.600,-0.780,           
A1778870000_0014L.N,-224.990,-774.290,512.450,0.190,0.540,-0.820,           
A1778870000_0014R.N,-224.990,774.290,512.450,0.190,-0.540,-0.820,           
A1778870000_0015L.N,-359.690,-754.490,490.330,0.240,0.470,-0.850,           
A1778870000_0015R.N,-359.690,754.490,490.330,0.240,-0.470,-0.850,           
A1778870000_0016L.N,-463.840,-719.840,473.810,0.330,0.380,-0.860,           
A1778870000_0016R.N,-463.840,719.840,473.810,0.330,-0.380,-0.860,           
A1778870000_0017L.N,-547.400,-646.570,468.930,0.390,0.330,-0.860,           
A1778870000_0017R.N,-547.400,646.570,468.930,0.390,-0.330,-0.860,           
A1778870000_0018L.N,-619.810,-561.810,467.130,0.420,0.320,-0.850,           
A1778870000_0018R.N,-619.810,561.810,467.130,0.420,-0.320,-0.850,           
A1778870000_0019L.N,-649.240,-489.110,465.420,0.310,0.090,-0.950,           
A1778870000_0019R.N,-649.240,489.110,465.420,0.310,-0.090,-0.950,           
A1778870000_0020L.N,-677.990,-349.420,471.800,0.320,0.100,-0.940,           
A1778870000_0020R.N,-677.990,349.420,471.800,0.320,-0.100,-0.940,           
A1778870000_0021L.N,-687.780,-289.490,474.780,0.320,0.090,-0.940,           
A1778870000_0021R.N,-687.780,289.490,474.780,0.320,-0.090,-0.940,           
A1778870000_0022L.N,-702.640,-174.650,479.430,0.330,0.070,-0.940,           
A1778870000_0022R.N,-702.640,174.650,479.430,0.330,-0.070,-0.940,           
A1778870000_0043L.N,-438.080,-733.280,477.060,0.300,0.410,-0.860,           
A1778870000_0043R.N,-438.080,733.280,477.060,0.300,-0.410,-0.860,           
A1778870000_0051L.N,395.640,-732.590,657.190,0.160,0.100,-0.980,           
A1778870000_0051R.N,395.640,732.590,657.190,0.160,-0.100,-0.980,           
A1778870000_0052L.N,129.660,-793.020,563.450,0.110,0.670,-0.730,           
A1778870000_0052R.N,129.660,793.020,563.450,0.110,-0.670,-0.730,           
A1188870000_0023L.N,245.010,-4.990,667.650,0.110,0.000,-0.990,           
A1188870000_0024L.N,254.380,-169.780,667.020,-0.110,-0.020,0.990,           
A1188870000_0024R.N,254.380,169.780,667.020,-0.110,0.020,0.990,           
A1188870000_0025L.N,281.410,-339.590,665.210,-0.120,-0.040,0.990,           
A1188870000_0025R.N,281.410,339.590,665.210,-0.120,0.040,0.990,           
A1188870000_0026L.N,318.260,-489.440,662.740,-0.140,-0.060,0.990,           
A1188870000_0026R.N,318.260,489.440,662.740,-0.140,0.060,0.990,           
A1188870000_0027L.N,354.480,-604.320,660.310,-0.160,-0.080,0.980,           
A1188870000_0027R.N,354.480,604.320,660.310,-0.160,0.080,0.980,           
A1188870000_0028L.N,396.750,-714.210,657.460,-0.170,-0.070,0.980,           
A1188870000_0028R.N,396.750,714.210,657.460,-0.170,0.070,0.980,           
A1188870000_0029L.N,376.050,-756.420,640.940,-0.110,-0.720,0.690,           
A1188870000_0029R.N,376.050,756.420,640.940,-0.110,0.720,0.690,           
A1188870000_0030L.N,284.830,-786.200,591.020,-0.090,-0.750,0.650,           
A1188870000_0030R.N,284.830,786.200,591.020,-0.090,0.750,0.650,           
A1188870000_0031L.N,180.310,-796.210,565.790,-0.100,-0.690,0.720,           
A1188870000_0031R.N,180.310,796.210,565.790,-0.100,0.690,0.720,           
A1188870000_0032L.N,-49.720,-791.100,533.810,-0.140,-0.610,0.780,           
A1188870000_0032R.N,-49.720,791.100,533.810,-0.140,0.610,0.780,           
A1188870000_0033L.N,-359.760,-758.480,486.250,-0.240,-0.490,0.840,           
A1188870000_0033R.N,-359.760,758.480,486.250,-0.240,0.490,0.840,           
A1188870000_0034L.N,-465.620,-723.430,469.750,-0.330,-0.390,0.860,           
A1188870000_0034R.N,-465.620,723.430,469.750,-0.330,0.390,0.860,           
A1188870000_0035L.N,-550.210,-649.340,464.810,-0.390,-0.340,0.860,           
A1188870000_0035R.N,-550.210,649.340,464.810,-0.390,0.340,0.860,           
A1188870000_0036L.N,-622.840,-564.220,462.930,-0.420,-0.330,0.850,           
A1188870000_0036R.N,-622.840,564.220,462.930,-0.420,0.330,0.850,           
A1188870000_0037L.N,-682.650,-350.060,468.560,-0.320,-0.100,0.940,           
A1188870000_0037R.N,-682.650,350.060,468.560,-0.320,0.100,0.940,           
A1188870000_0038L.N,-692.440,-290.050,471.540,-0.320,-0.090,0.940,           
A1188870000_0038R.N,-692.440,290.050,471.540,-0.320,0.090,0.940,           
A1188870000_0039L.N,-707.310,-175.030,476.180,-0.330,-0.070,0.940,           
A1188870000_0039R.N,-707.310,175.030,476.180,-0.330,0.070,0.940,           
A1188870000_0040L.N,-716.960,-5.000,479.220,0.330,0.000,-0.940,           
A1188870000_0047L.N,130.290,-796.100,558.680,-0.110,-0.670,0.740,           
A1188870000_0047R.N,130.290,796.100,558.680,-0.110,0.670,0.740,           
A1188870000_0050L.N,401.210,-733.640,656.460,0.160,0.090,-0.980,           
A1188870000_0050R.N,401.210,733.640,656.460,0.160,-0.090,-0.980,           
A1778870000_0023L.N,245.010,-4.990,667.650,0.110,0.000,-0.990,           
A1778870000_0024L.N,254.380,-169.780,667.020,-0.110,-0.020,0.990,           
A1778870000_0024R.N,254.380,169.780,667.020,-0.110,0.020,0.990,           
A1778870000_0025L.N,281.410,-339.590,665.210,-0.120,-0.040,0.990,           
A1778870000_0025R.N,281.410,339.590,665.210,-0.120,0.040,0.990,           
A1778870000_0026L.N,318.260,-489.440,662.740,-0.140,-0.060,0.990,           
A1778870000_0026R.N,318.260,489.440,662.740,-0.140,0.060,0.990,           
A1778870000_0027L.N,354.480,-604.320,660.310,-0.160,-0.080,0.980,           
A1778870000_0027R.N,354.480,604.320,660.310,-0.160,0.080,0.980,           
A1778870000_0028L.N,396.770,-714.280,657.460,-0.180,-0.070,0.980,           
A1778870000_0028R.N,396.770,714.280,657.460,-0.180,0.070,0.980,           
A1778870000_0029L.N,376.050,-756.420,640.940,-0.110,-0.720,0.690,           
A1778870000_0029R.N,376.050,756.420,640.940,-0.110,0.720,0.690,           
A1778870000_0030L.N,284.830,-786.200,591.020,-0.090,-0.750,0.650,           
A1778870000_0030R.N,284.830,786.200,591.020,-0.090,0.750,0.650,           
A1778870000_0031L.N,180.310,-796.210,565.790,-0.100,-0.690,0.720,           
A1778870000_0031R.N,180.310,796.210,565.790,-0.100,0.690,0.720,           
